{0.00276214,0.177034},
{0.00284791,0.203746},
{0.00293634,0.238845},
{0.00302752,0.253547},
{0.00312153,0.259966},
{0.00321846,0.325867},
{0.00331841,0.249004},
{0.00342145,0.291732},
{0.00352769,0.282674},
{0.00363724,0.290354},
{0.00375018,0.287011},
{0.00386663,0.231533},
{0.0039867,0.153448},
{0.0041105,0.169744},
{0.00423814,0.179181},
{0.00436974,0.141641},
{0.00450544,0.149996},
{0.00464534,0.197902},
{0.00478959,0.216061},
{0.00493832,0.191799},
{0.00509166,0.192978},
{0.00524977,0.193318},
{0.00541279,0.24279},
{0.00558087,0.246309},
{0.00575417,0.231233},
{0.00593285,0.204243},
{0.00611708,0.194126},
{0.00630703,0.178853},
{0.00650288,0.205748},
{0.00670481,0.190787},
{0.00691301,0.217018},
{0.00712767,0.213424},
{0.00734901,0.222343},
{0.00757721,0.191377},
{0.0078125,0.178016},
{0.0080551,0.169798},
{0.00830523,0.142204},
{0.00856312,0.155599},
{0.00882903,0.154394},
{0.00910319,0.207519},
{0.00938587,0.209649},
{0.00967732,0.170675},
{0.00997783,0.15996},
{0.0102877,0.164677},
{0.0106071,0.192772},
{0.0109365,0.17285},
{0.0112761,0.15656},
{0.0116262,0.179639},
{0.0119873,0.186641},
{0.0123595,0.167463},
{0.0127433,0.177631},
{0.013139,0.182099},
{0.013547,0.137614},
{0.0139677,0.147585},
{0.0144014,0.17558},
{0.0148486,0.150111},
{0.0153097,0.134262},
{0.0157851,0.131006},
{0.0162753,0.110157},
{0.0167806,0.125452},
{0.0173017,0.105882},
{0.017839,0.0890347},
{0.0183929,0.0946045},
{0.0189641,0.110257},
{0.0195529,0.0840301},
{0.0201601,0.121391},
{0.0207861,0.128449},
{0.0214316,0.0858498},
{0.0220971,0.121102},
{0.0227833,0.127808},
{0.0234907,0.114372},
{0.0242202,0.110468},
{0.0249723,0.137206},
{0.0257477,0.132566},
{0.0265472,0.133228},
{0.0273716,0.139775},
{0.0282216,0.162511},
{0.0290979,0.151245},
