    -9.99956     -9.88076     -9.76195     -9.64315     -9.52434     -9.40554     -9.28673     -9.16793     -9.04912     -8.93032     -8.81151      -8.6927      -8.5739     -8.45509     -8.33629     -8.21748     -8.09868     -7.97987     -7.86107     -7.74226     -7.62346     -7.50465     -7.38585     -7.26704     -7.14823     -7.02943     -6.91062     -6.79182     -6.67301     -6.55421      -6.4354      -6.3166     -6.19779     -6.07899     -5.96018     -5.84137     -5.72257     -5.60376     -5.48496     -5.36615     -5.24735     -5.12854     -5.00974     -4.89093     -4.77213     -4.65332     -4.53452     -4.41571      -4.2969      -4.1781     -4.05929     -4.05929      -4.1781      -4.2969     -4.41571     -4.53452     -4.65332     -4.77213     -4.89093     -5.00974     -5.12854     -5.24735     -5.36615     -5.48496     -5.60376     -5.72257     -5.84137     -5.96018     -6.07899     -6.19779      -6.3166      -6.4354     -6.55421     -6.67301     -6.79182     -6.91062     -7.02943     -7.14823     -7.26704     -7.38585     -7.50465     -7.62346     -7.74226     -7.86107     -7.97987     -8.09868     -8.21748     -8.33629     -8.45509      -8.5739      -8.6927     -8.81151     -8.93032     -9.04912     -9.16793     -9.28673     -9.40554     -9.52434     -9.64315     -9.76195     -9.88076     -9.99956
    -9.99826     -9.87947     -9.76069      -9.6419     -9.52311     -9.40433     -9.28554     -9.16676     -9.04797     -8.92918      -8.8104     -8.69161     -8.57283     -8.45404     -8.33525     -8.21647     -8.09768      -7.9789     -7.86011     -7.74132     -7.62254     -7.50375     -7.38497     -7.26618     -7.14739     -7.02861     -6.90982     -6.79104     -6.67225     -6.55346     -6.43468     -6.31589     -6.19711     -6.07832     -5.95953     -5.84075     -5.72196     -5.60318     -5.48439      -5.3656     -5.24682     -5.12803     -5.00925     -4.89046     -4.77167     -4.65289      -4.5341     -4.41532     -4.29653     -4.17774     -4.05896     -4.05896     -4.17774     -4.29653     -4.41532      -4.5341     -4.65289     -4.77167     -4.89046     -5.00925     -5.12803     -5.24682      -5.3656     -5.48439     -5.60318     -5.72196     -5.84075     -5.95953     -6.07832     -6.19711     -6.31589     -6.43468     -6.55346     -6.67225     -6.79104     -6.90982     -7.02861     -7.14739     -7.26618     -7.38497     -7.50375     -7.62254     -7.74132     -7.86011      -7.9789     -8.09768     -8.21647     -8.33525     -8.45404     -8.57283     -8.69161      -8.8104     -8.92918     -9.04797     -9.16676     -9.28554     -9.40433     -9.52311      -9.6419     -9.76069     -9.87947     -9.99826
    -9.99608     -9.87733     -9.75857     -9.63982     -9.52106     -9.40231     -9.28356      -9.1648     -9.04605      -8.9273     -8.80854     -8.68979     -8.57103     -8.45228     -8.33353     -8.21477     -8.09602     -7.97727     -7.85851     -7.73976     -7.62101     -7.50225      -7.3835     -7.26474     -7.14599     -7.02724     -6.90848     -6.78973     -6.67098     -6.55222     -6.43347     -6.31472     -6.19596     -6.07721     -5.95845      -5.8397     -5.72095     -5.60219     -5.48344     -5.36469     -5.24593     -5.12718     -5.00843     -4.88967     -4.77092     -4.65216     -4.53341     -4.41466      -4.2959     -4.17715      -4.0584      -4.0584     -4.17715      -4.2959     -4.41466     -4.53341     -4.65216     -4.77092     -4.88967     -5.00843     -5.12718     -5.24593     -5.36469     -5.48344     -5.60219     -5.72095      -5.8397     -5.95845     -6.07721     -6.19596     -6.31472     -6.43347     -6.55222     -6.67098     -6.78973     -6.90848     -7.02724     -7.14599     -7.26474      -7.3835     -7.50225     -7.62101     -7.73976     -7.85851     -7.97727     -8.09602     -8.21477     -8.33353     -8.45228     -8.57103     -8.68979     -8.80854      -8.9273     -9.04605      -9.1648     -9.28356     -9.40231     -9.52106     -9.63982     -9.75857     -9.87733     -9.99608
    -9.99303     -9.87432     -9.75561      -9.6369      -9.5182     -9.39949     -9.28078     -9.16207     -9.04336     -8.92465     -8.80595     -8.68724     -8.56853     -8.44982     -8.33111      -8.2124      -8.0937     -7.97499     -7.85628     -7.73757     -7.61886     -7.50015     -7.38145     -7.26274     -7.14403     -7.02532     -6.90661      -6.7879      -6.6692     -6.55049     -6.43178     -6.31307     -6.19436     -6.07565     -5.95695     -5.83824     -5.71953     -5.60082     -5.48211      -5.3634      -5.2447     -5.12599     -5.00728     -4.88857     -4.76986     -4.65115     -4.53244     -4.41374     -4.29503     -4.17632     -4.05761     -4.05761     -4.17632     -4.29503     -4.41374     -4.53244     -4.65115     -4.76986     -4.88857     -5.00728     -5.12599      -5.2447      -5.3634     -5.48211     -5.60082     -5.71953     -5.83824     -5.95695     -6.07565     -6.19436     -6.31307     -6.43178     -6.55049      -6.6692      -6.7879     -6.90661     -7.02532     -7.14403     -7.26274     -7.38145     -7.50015     -7.61886     -7.73757     -7.85628     -7.97499      -8.0937      -8.2124     -8.33111     -8.44982     -8.56853     -8.68724     -8.80595     -8.92465     -9.04336     -9.16207     -9.28078     -9.39949      -9.5182      -9.6369     -9.75561     -9.87432     -9.99303
    -9.98911     -9.87046     -9.75181     -9.63316     -9.51451     -9.39586     -9.27721     -9.15856     -9.03991     -8.92126     -8.80261     -8.68396     -8.56531     -8.44666     -8.32801     -8.20936     -8.09071     -7.97206     -7.85341     -7.73476     -7.61611     -7.49746     -7.37881     -7.26016     -7.14151     -7.02286     -6.90421     -6.78556     -6.66691     -6.54826      -6.4296     -6.31095      -6.1923     -6.07365       -5.955     -5.83635      -5.7177     -5.59905      -5.4804     -5.36175      -5.2431     -5.12445      -5.0058     -4.88715      -4.7685     -4.64985      -4.5312     -4.41255      -4.2939     -4.17525      -4.0566      -4.0566     -4.17525      -4.2939     -4.41255      -4.5312     -4.64985      -4.7685     -4.88715      -5.0058     -5.12445      -5.2431     -5.36175      -5.4804     -5.59905      -5.7177     -5.83635       -5.955     -6.07365      -6.1923     -6.31095      -6.4296     -6.54826     -6.66691     -6.78556     -6.90421     -7.02286     -7.14151     -7.26016     -7.37881     -7.49746     -7.61611     -7.73476     -7.85341     -7.97206     -8.09071     -8.20936     -8.32801     -8.44666     -8.56531     -8.68396     -8.80261     -8.92126     -9.03991     -9.15856     -9.27721     -9.39586     -9.51451     -9.63316     -9.75181     -9.87046     -9.98911
    -9.98432     -9.86574     -9.74716     -9.62858        -9.51     -9.39142     -9.27284     -9.15427     -9.03569     -8.91711     -8.79853     -8.67995     -8.56137     -8.44279     -8.32421     -8.20563     -8.08705     -7.96848      -7.8499     -7.73132     -7.61274     -7.49416     -7.37558       -7.257     -7.13842     -7.01984     -6.90126     -6.78269     -6.66411     -6.54553     -6.42695     -6.30837     -6.18979     -6.07121     -5.95263     -5.83405     -5.71547      -5.5969     -5.47832     -5.35974     -5.24116     -5.12258       -5.004     -4.88542     -4.76684     -4.64826     -4.52969     -4.41111     -4.29253     -4.17395     -4.05537     -4.05537     -4.17395     -4.29253     -4.41111     -4.52969     -4.64826     -4.76684     -4.88542       -5.004     -5.12258     -5.24116     -5.35974     -5.47832      -5.5969     -5.71547     -5.83405     -5.95263     -6.07121     -6.18979     -6.30837     -6.42695     -6.54553     -6.66411     -6.78269     -6.90126     -7.01984     -7.13842       -7.257     -7.37558     -7.49416     -7.61274     -7.73132      -7.8499     -7.96848     -8.08705     -8.20563     -8.32421     -8.44279     -8.56137     -8.67995     -8.79853     -8.91711     -9.03569     -9.15427     -9.27284     -9.39142        -9.51     -9.62858     -9.74716     -9.86574     -9.98432
    -9.97866     -9.86016     -9.74167     -9.62317     -9.50468     -9.38618     -9.26769     -9.14919      -9.0307      -8.9122     -8.79371     -8.67521     -8.55672     -8.43822     -8.31973     -8.20123     -8.08274     -7.96424     -7.84575     -7.72725     -7.60876     -7.49026     -7.37177     -7.25327     -7.13478     -7.01629     -6.89779      -6.7793      -6.6608     -6.54231     -6.42381     -6.30532     -6.18682     -6.06833     -5.94983     -5.83134     -5.71284     -5.59435     -5.47585     -5.35736     -5.23886     -5.12037     -5.00187     -4.88338     -4.76488     -4.64639     -4.52789      -4.4094      -4.2909     -4.17241     -4.05391     -4.05391     -4.17241      -4.2909      -4.4094     -4.52789     -4.64639     -4.76488     -4.88338     -5.00187     -5.12037     -5.23886     -5.35736     -5.47585     -5.59435     -5.71284     -5.83134     -5.94983     -6.06833     -6.18682     -6.30532     -6.42381     -6.54231      -6.6608      -6.7793     -6.89779     -7.01629     -7.13478     -7.25327     -7.37177     -7.49026     -7.60876     -7.72725     -7.84575     -7.96424     -8.08274     -8.20123     -8.31973     -8.43822     -8.55672     -8.67521     -8.79371      -8.9122      -9.0307     -9.14919     -9.26769     -9.38618     -9.50468     -9.62317     -9.74167     -9.86016     -9.97866
    -9.97213     -9.85373     -9.73533     -9.61694     -9.49854     -9.38014     -9.26174     -9.14334     -9.02495     -8.90655     -8.78815     -8.66975     -8.55135     -8.43296     -8.31456     -8.19616     -8.07776     -7.95936     -7.84097     -7.72257     -7.60417     -7.48577     -7.36737     -7.24898     -7.13058     -7.01218     -6.89378     -6.77538     -6.65699     -6.53859     -6.42019     -6.30179     -6.18339       -6.065      -5.9466      -5.8282      -5.7098      -5.5914     -5.47301     -5.35461     -5.23621     -5.11781     -4.99941     -4.88102     -4.76262     -4.64422     -4.52582     -4.40743     -4.28903     -4.17063     -4.05223     -4.05223     -4.17063     -4.28903     -4.40743     -4.52582     -4.64422     -4.76262     -4.88102     -4.99941     -5.11781     -5.23621     -5.35461     -5.47301      -5.5914      -5.7098      -5.8282      -5.9466       -6.065     -6.18339     -6.30179     -6.42019     -6.53859     -6.65699     -6.77538     -6.89378     -7.01218     -7.13058     -7.24898     -7.36737     -7.48577     -7.60417     -7.72257     -7.84097     -7.95936     -8.07776     -8.19616     -8.31456     -8.43296     -8.55135     -8.66975     -8.78815     -8.90655     -9.02495     -9.14334     -9.26174     -9.38014     -9.49854     -9.61694     -9.73533     -9.85373     -9.97213
    -9.96473     -9.84644     -9.72815     -9.60987     -9.49158     -9.37329       -9.255     -9.13671     -9.01843     -8.90014     -8.78185     -8.66356     -8.54527     -8.42699      -8.3087     -8.19041     -8.07212     -7.95383     -7.83555     -7.71726     -7.59897     -7.48068     -7.36239     -7.24411     -7.12582     -7.00753     -6.88924     -6.77095     -6.65266     -6.53438     -6.41609      -6.2978     -6.17951     -6.06122     -5.94294     -5.82465     -5.70636     -5.58807     -5.46978      -5.3515     -5.23321     -5.11492     -4.99663     -4.87834     -4.76006     -4.64177     -4.52348     -4.40519      -4.2869     -4.16861     -4.05033     -4.05033     -4.16861      -4.2869     -4.40519     -4.52348     -4.64177     -4.76006     -4.87834     -4.99663     -5.11492     -5.23321      -5.3515     -5.46978     -5.58807     -5.70636     -5.82465     -5.94294     -6.06122     -6.17951      -6.2978     -6.41609     -6.53438     -6.65266     -6.77095     -6.88924     -7.00753     -7.12582     -7.24411     -7.36239     -7.48068     -7.59897     -7.71726     -7.83555     -7.95383     -8.07212     -8.19041      -8.3087     -8.42699     -8.54527     -8.66356     -8.78185     -8.90014     -9.01843     -9.13671       -9.255     -9.37329     -9.49158     -9.60987     -9.72815     -9.84644     -9.96473
    -9.95647      -9.8383     -9.72013     -9.60197      -9.4838     -9.36564     -9.24747     -9.12931     -9.01114     -8.89298     -8.77481     -8.65665     -8.53848     -8.42032     -8.30215     -8.18399     -8.06582     -7.94765     -7.82949     -7.71132     -7.59316     -7.47499     -7.35683     -7.23866      -7.1205     -7.00233     -6.88417       -6.766     -6.64784     -6.52967     -6.41151     -6.29334     -6.17518     -6.05701     -5.93884     -5.82068     -5.70251     -5.58435     -5.46618     -5.34802     -5.22985     -5.11169     -4.99352     -4.87536     -4.75719     -4.63903     -4.52086      -4.4027     -4.28453     -4.16636      -4.0482      -4.0482     -4.16636     -4.28453      -4.4027     -4.52086     -4.63903     -4.75719     -4.87536     -4.99352     -5.11169     -5.22985     -5.34802     -5.46618     -5.58435     -5.70251     -5.82068     -5.93884     -6.05701     -6.17518     -6.29334     -6.41151     -6.52967     -6.64784       -6.766     -6.88417     -7.00233      -7.1205     -7.23866     -7.35683     -7.47499     -7.59316     -7.71132     -7.82949     -7.94765     -8.06582     -8.18399     -8.30215     -8.42032     -8.53848     -8.65665     -8.77481     -8.89298     -9.01114     -9.12931     -9.24747     -9.36564      -9.4838     -9.60197     -9.72013      -9.8383     -9.95647
