-21.4998 -21.4761 -21.4523 -21.4286 -21.4048  -21.381 -21.3573 -21.3335 -21.3098  -21.286 -21.2622 -21.2385 -21.2147  -21.191 -21.1672 -21.1434 -21.1197 -21.0959 -21.0722 -21.0484 -21.0246 -21.0009 -20.9771 -20.9534 -20.9296 -20.9058 -20.8821 -20.8583 -20.8346 -20.8108  -20.787 -20.7633 -20.7395 -20.7158  -20.692 -20.6682 -20.6445 -20.6207  -20.597 -20.5732 -20.5495 -20.5257 -20.5019 -20.4782 -20.4544 -20.4307 -20.4069 -20.3831 -20.3594 -20.3356 -20.3119 -20.3119 -20.3356 -20.3594 -20.3831 -20.4069 -20.4307 -20.4544 -20.4782 -20.5019 -20.5257 -20.5495 -20.5732  -20.597 -20.6207 -20.6445 -20.6682  -20.692 -20.7158 -20.7395 -20.7633  -20.787 -20.8108 -20.8346 -20.8583 -20.8821 -20.9058 -20.9296 -20.9534 -20.9771 -21.0009 -21.0246 -21.0484 -21.0722 -21.0959 -21.1197 -21.1434 -21.1672  -21.191 -21.2147 -21.2385 -21.2622  -21.286 -21.3098 -21.3335 -21.3573  -21.381 -21.4048 -21.4286 -21.4523 -21.4761 -21.4998
-21.4993 -21.4756 -21.4518 -21.4281 -21.4043 -21.3806 -21.3568 -21.3331 -21.3093 -21.2856 -21.2618 -21.2381 -21.2143 -21.1906 -21.1668 -21.1431 -21.1193 -21.0956 -21.0718 -21.0481 -21.0243 -21.0005 -20.9768  -20.953 -20.9293 -20.9055 -20.8818  -20.858 -20.8343 -20.8105 -20.7868  -20.763 -20.7393 -20.7155 -20.6918  -20.668 -20.6443 -20.6205 -20.5968  -20.573 -20.5493 -20.5255 -20.5018  -20.478 -20.4543 -20.4305 -20.4068  -20.383 -20.3593 -20.3355 -20.3118 -20.3118 -20.3355 -20.3593  -20.383 -20.4068 -20.4305 -20.4543  -20.478 -20.5018 -20.5255 -20.5493  -20.573 -20.5968 -20.6205 -20.6443  -20.668 -20.6918 -20.7155 -20.7393  -20.763 -20.7868 -20.8105 -20.8343  -20.858 -20.8818 -20.9055 -20.9293  -20.953 -20.9768 -21.0005 -21.0243 -21.0481 -21.0718 -21.0956 -21.1193 -21.1431 -21.1668 -21.1906 -21.2143 -21.2381 -21.2618 -21.2856 -21.3093 -21.3331 -21.3568 -21.3806 -21.4043 -21.4281 -21.4518 -21.4756 -21.4993
-21.4985 -21.4747  -21.451 -21.4273 -21.4035 -21.3798  -21.356 -21.3323 -21.3086 -21.2848 -21.2611 -21.2374 -21.2136 -21.1899 -21.1662 -21.1424 -21.1187 -21.0949 -21.0712 -21.0475 -21.0237      -21 -20.9763 -20.9525 -20.9288 -20.9051 -20.8813 -20.8576 -20.8338 -20.8101 -20.7864 -20.7626 -20.7389 -20.7152 -20.6914 -20.6677  -20.644 -20.6202 -20.5965 -20.5727  -20.549 -20.5253 -20.5015 -20.4778 -20.4541 -20.4303 -20.4066 -20.3829 -20.3591 -20.3354 -20.3116 -20.3116 -20.3354 -20.3591 -20.3829 -20.4066 -20.4303 -20.4541 -20.4778 -20.5015 -20.5253  -20.549 -20.5727 -20.5965 -20.6202  -20.644 -20.6677 -20.6914 -20.7152 -20.7389 -20.7626 -20.7864 -20.8101 -20.8338 -20.8576 -20.8813 -20.9051 -20.9288 -20.9525 -20.9763      -21 -21.0237 -21.0475 -21.0712 -21.0949 -21.1187 -21.1424 -21.1662 -21.1899 -21.2136 -21.2374 -21.2611 -21.2848 -21.3086 -21.3323  -21.356 -21.3798 -21.4035 -21.4273  -21.451 -21.4747 -21.4985
-21.4973 -21.4735 -21.4498 -21.4261 -21.4024 -21.3787  -21.355 -21.3313 -21.3075 -21.2838 -21.2601 -21.2364 -21.2127  -21.189 -21.1652 -21.1415 -21.1178 -21.0941 -21.0704 -21.0467 -21.0229 -20.9992 -20.9755 -20.9518 -20.9281 -20.9044 -20.8807 -20.8569 -20.8332 -20.8095 -20.7858 -20.7621 -20.7384 -20.7146 -20.6909 -20.6672 -20.6435 -20.6198 -20.5961 -20.5723 -20.5486 -20.5249 -20.5012 -20.4775 -20.4538   -20.43 -20.4063 -20.3826 -20.3589 -20.3352 -20.3115 -20.3115 -20.3352 -20.3589 -20.3826 -20.4063   -20.43 -20.4538 -20.4775 -20.5012 -20.5249 -20.5486 -20.5723 -20.5961 -20.6198 -20.6435 -20.6672 -20.6909 -20.7146 -20.7384 -20.7621 -20.7858 -20.8095 -20.8332 -20.8569 -20.8807 -20.9044 -20.9281 -20.9518 -20.9755 -20.9992 -21.0229 -21.0467 -21.0704 -21.0941 -21.1178 -21.1415 -21.1652  -21.189 -21.2127 -21.2364 -21.2601 -21.2838 -21.3075 -21.3313  -21.355 -21.3787 -21.4024 -21.4261 -21.4498 -21.4735 -21.4973
-21.4957  -21.472 -21.4483 -21.4247  -21.401 -21.3773 -21.3536 -21.3299 -21.3062 -21.2825 -21.2588 -21.2351 -21.2114 -21.1878 -21.1641 -21.1404 -21.1167  -21.093 -21.0693 -21.0456 -21.0219 -20.9982 -20.9746 -20.9509 -20.9272 -20.9035 -20.8798 -20.8561 -20.8324 -20.8087  -20.785 -20.7613 -20.7377  -20.714 -20.6903 -20.6666 -20.6429 -20.6192 -20.5955 -20.5718 -20.5481 -20.5244 -20.5008 -20.4771 -20.4534 -20.4297  -20.406 -20.3823 -20.3586 -20.3349 -20.3112 -20.3112 -20.3349 -20.3586 -20.3823  -20.406 -20.4297 -20.4534 -20.4771 -20.5008 -20.5244 -20.5481 -20.5718 -20.5955 -20.6192 -20.6429 -20.6666 -20.6903  -20.714 -20.7377 -20.7613  -20.785 -20.8087 -20.8324 -20.8561 -20.8798 -20.9035 -20.9272 -20.9509 -20.9746 -20.9982 -21.0219 -21.0456 -21.0693  -21.093 -21.1167 -21.1404 -21.1641 -21.1878 -21.2114 -21.2351 -21.2588 -21.2825 -21.3062 -21.3299 -21.3536 -21.3773  -21.401 -21.4247 -21.4483  -21.472 -21.4957
-21.4938 -21.4702 -21.4465 -21.4229 -21.3992 -21.3756 -21.3519 -21.3282 -21.3046 -21.2809 -21.2573 -21.2336   -21.21 -21.1863 -21.1626  -21.139 -21.1153 -21.0917  -21.068 -21.0443 -21.0207  -20.997 -20.9734 -20.9497 -20.9261 -20.9024 -20.8787 -20.8551 -20.8314 -20.8078 -20.7841 -20.7605 -20.7368 -20.7131 -20.6895 -20.6658 -20.6422 -20.6185 -20.5948 -20.5712 -20.5475 -20.5239 -20.5002 -20.4766 -20.4529 -20.4292 -20.4056 -20.3819 -20.3583 -20.3346  -20.311  -20.311 -20.3346 -20.3583 -20.3819 -20.4056 -20.4292 -20.4529 -20.4766 -20.5002 -20.5239 -20.5475 -20.5712 -20.5948 -20.6185 -20.6422 -20.6658 -20.6895 -20.7131 -20.7368 -20.7605 -20.7841 -20.8078 -20.8314 -20.8551 -20.8787 -20.9024 -20.9261 -20.9497 -20.9734  -20.997 -21.0207 -21.0443  -21.068 -21.0917 -21.1153  -21.139 -21.1626 -21.1863   -21.21 -21.2336 -21.2573 -21.2809 -21.3046 -21.3282 -21.3519 -21.3756 -21.3992 -21.4229 -21.4465 -21.4702 -21.4938
-21.4916  -21.468 -21.4444 -21.4208 -21.3971 -21.3735 -21.3499 -21.3263 -21.3027  -21.279 -21.2554 -21.2318 -21.2082 -21.1846 -21.1609 -21.1373 -21.1137 -21.0901 -21.0665 -21.0428 -21.0192 -20.9956  -20.972 -20.9484 -20.9247 -20.9011 -20.8775 -20.8539 -20.8303 -20.8066  -20.783 -20.7594 -20.7358 -20.7122 -20.6885 -20.6649 -20.6413 -20.6177 -20.5941 -20.5704 -20.5468 -20.5232 -20.4996  -20.476 -20.4523 -20.4287 -20.4051 -20.3815 -20.3579 -20.3342 -20.3106 -20.3106 -20.3342 -20.3579 -20.3815 -20.4051 -20.4287 -20.4523  -20.476 -20.4996 -20.5232 -20.5468 -20.5704 -20.5941 -20.6177 -20.6413 -20.6649 -20.6885 -20.7122 -20.7358 -20.7594  -20.783 -20.8066 -20.8303 -20.8539 -20.8775 -20.9011 -20.9247 -20.9484  -20.972 -20.9956 -21.0192 -21.0428 -21.0665 -21.0901 -21.1137 -21.1373 -21.1609 -21.1846 -21.2082 -21.2318 -21.2554  -21.279 -21.3027 -21.3263 -21.3499 -21.3735 -21.3971 -21.4208 -21.4444  -21.468 -21.4916
-21.4891 -21.4655 -21.4419 -21.4183 -21.3948 -21.3712 -21.3476  -21.324 -21.3005 -21.2769 -21.2533 -21.2297 -21.2061 -21.1826  -21.159 -21.1354 -21.1118 -21.0883 -21.0647 -21.0411 -21.0175  -20.994 -20.9704 -20.9468 -20.9232 -20.8996 -20.8761 -20.8525 -20.8289 -20.8053 -20.7818 -20.7582 -20.7346  -20.711 -20.6875 -20.6639 -20.6403 -20.6167 -20.5931 -20.5696  -20.546 -20.5224 -20.4988 -20.4753 -20.4517 -20.4281 -20.4045  -20.381 -20.3574 -20.3338 -20.3102 -20.3102 -20.3338 -20.3574  -20.381 -20.4045 -20.4281 -20.4517 -20.4753 -20.4988 -20.5224  -20.546 -20.5696 -20.5931 -20.6167 -20.6403 -20.6639 -20.6875  -20.711 -20.7346 -20.7582 -20.7818 -20.8053 -20.8289 -20.8525 -20.8761 -20.8996 -20.9232 -20.9468 -20.9704  -20.994 -21.0175 -21.0411 -21.0647 -21.0883 -21.1118 -21.1354  -21.159 -21.1826 -21.2061 -21.2297 -21.2533 -21.2769 -21.3005  -21.324 -21.3476 -21.3712 -21.3948 -21.4183 -21.4419 -21.4655 -21.4891
-21.4862 -21.4626 -21.4391 -21.4156 -21.3921 -21.3685  -21.345 -21.3215  -21.298 -21.2744 -21.2509 -21.2274 -21.2038 -21.1803 -21.1568 -21.1333 -21.1097 -21.0862 -21.0627 -21.0391 -21.0156 -20.9921 -20.9686  -20.945 -20.9215  -20.898 -20.8745 -20.8509 -20.8274 -20.8039 -20.7803 -20.7568 -20.7333 -20.7098 -20.6862 -20.6627 -20.6392 -20.6156 -20.5921 -20.5686 -20.5451 -20.5215  -20.498 -20.4745  -20.451 -20.4274 -20.4039 -20.3804 -20.3568 -20.3333 -20.3098 -20.3098 -20.3333 -20.3568 -20.3804 -20.4039 -20.4274  -20.451 -20.4745  -20.498 -20.5215 -20.5451 -20.5686 -20.5921 -20.6156 -20.6392 -20.6627 -20.6862 -20.7098 -20.7333 -20.7568 -20.7803 -20.8039 -20.8274 -20.8509 -20.8745  -20.898 -20.9215  -20.945 -20.9686 -20.9921 -21.0156 -21.0391 -21.0627 -21.0862 -21.1097 -21.1333 -21.1568 -21.1803 -21.2038 -21.2274 -21.2509 -21.2744  -21.298 -21.3215  -21.345 -21.3685 -21.3921 -21.4156 -21.4391 -21.4626 -21.4862
-21.4829 -21.4595  -21.436 -21.4125  -21.389 -21.3656 -21.3421 -21.3186 -21.2952 -21.2717 -21.2482 -21.2247 -21.2013 -21.1778 -21.1543 -21.1308 -21.1074 -21.0839 -21.0604  -21.037 -21.0135   -20.99 -20.9665 -20.9431 -20.9196 -20.8961 -20.8726 -20.8492 -20.8257 -20.8022 -20.7788 -20.7553 -20.7318 -20.7083 -20.6849 -20.6614 -20.6379 -20.6144  -20.591 -20.5675  -20.544 -20.5206 -20.4971 -20.4736 -20.4501 -20.4267 -20.4032 -20.3797 -20.3562 -20.3328 -20.3093 -20.3093 -20.3328 -20.3562 -20.3797 -20.4032 -20.4267 -20.4501 -20.4736 -20.4971 -20.5206  -20.544 -20.5675  -20.591 -20.6144 -20.6379 -20.6614 -20.6849 -20.7083 -20.7318 -20.7553 -20.7788 -20.8022 -20.8257 -20.8492 -20.8726 -20.8961 -20.9196 -20.9431 -20.9665   -20.99 -21.0135  -21.037 -21.0604 -21.0839 -21.1074 -21.1308 -21.1543 -21.1778 -21.2013 -21.2247 -21.2482 -21.2717 -21.2952 -21.3186 -21.3421 -21.3656  -21.389 -21.4125  -21.436 -21.4595 -21.4829
