-12.2989  -12.174 -12.0491 -11.9241 -11.7992 -11.6742 -11.5493 -11.4244 -11.2994 -11.1745 -11.0495 -10.9246 -10.7997 -10.6747 -10.5498 -10.4248 -10.2999 -10.4248 -10.5498 -10.6747 -10.7997 -10.9246 -11.0495 -11.1745 -11.2994 -11.4244 -11.5493 -11.6742 -11.7992 -11.9241 -12.0491  -12.174 -12.2989
-12.2957  -12.171 -12.0462 -11.9215 -11.7967  -11.672 -11.5472 -11.4224 -11.2977 -11.1729 -11.0482 -10.9234 -10.7986 -10.6739 -10.5491 -10.4244 -10.2999 -10.4244 -10.5491 -10.6739 -10.7986 -10.9234 -11.0482 -11.1729 -11.2977 -11.4224 -11.5472  -11.672 -11.7967 -11.9215 -12.0462  -12.171 -12.2957
-12.2904  -12.166 -12.0415 -11.9171 -11.7926 -11.6681 -11.5437 -11.4192 -11.2948 -11.1703 -11.0459 -10.9214  -10.797 -10.6725  -10.548 -10.4236 -10.2996 -10.4236  -10.548 -10.6725  -10.797 -10.9214 -11.0459 -11.1703 -11.2948 -11.4192 -11.5437 -11.6681 -11.7926 -11.9171 -12.0415  -12.166 -12.2904
 -12.283  -12.159 -12.0349 -11.9109 -11.7869 -11.6628 -11.5388 -11.4148 -11.2907 -11.1667 -11.0427 -10.9186 -10.7946 -10.6706 -10.5465 -10.4225 -10.2996 -10.4225 -10.5465 -10.6706 -10.7946 -10.9186 -11.0427 -11.1667 -11.2907 -11.4148 -11.5388 -11.6628 -11.7869 -11.9109 -12.0349  -12.159  -12.283
-12.2734   -12.15 -12.0265  -11.903 -11.7795  -11.656 -11.5325  -11.409 -11.2855  -11.162 -11.0385  -10.915 -10.7916 -10.6681 -10.5446 -10.4211 -10.2991 -10.4211 -10.5446 -10.6681 -10.7916  -10.915 -11.0385  -11.162 -11.2855  -11.409 -11.5325  -11.656 -11.7795  -11.903 -12.0265   -12.15 -12.2734
-12.2618  -12.139 -12.0161 -11.8933 -11.7705 -11.6477 -11.5248  -11.402 -11.2792 -11.1563 -11.0335 -10.9107 -10.7878  -10.665 -10.5422 -10.4194 -10.2991 -10.4194 -10.5422  -10.665 -10.7878 -10.9107 -11.0335 -11.1563 -11.2792  -11.402 -11.5248 -11.6477 -11.7705 -11.8933 -12.0161  -12.139 -12.2618
-12.2481  -12.126  -12.004 -11.8819 -11.7599 -11.6378 -11.5158 -11.3937 -11.2717 -11.1496 -11.0276 -10.9055 -10.7835 -10.6614 -10.5394 -10.4173 -10.2985 -10.4173 -10.5394 -10.6614 -10.7835 -10.9055 -11.0276 -11.1496 -11.2717 -11.3937 -11.5158 -11.6378 -11.7599 -11.8819  -12.004  -12.126 -12.2481
-12.2322 -12.1111 -11.9899 -11.8688 -11.7476 -11.6265 -11.5053 -11.3842  -11.263 -11.1419 -11.0207 -10.8996 -10.7784 -10.6573 -10.5361  -10.415 -10.2985  -10.415 -10.5361 -10.6573 -10.7784 -10.8996 -11.0207 -11.1419  -11.263 -11.3842 -11.5053 -11.6265 -11.7476 -11.8688 -11.9899 -12.1111 -12.2322
-12.2144 -12.0942 -11.9741  -11.854 -11.7338 -11.6137 -11.4936 -11.3734 -11.2533 -11.1332  -11.013 -10.8929 -10.7727 -10.6526 -10.5325 -10.4123 -10.2976 -10.4123 -10.5325 -10.6526 -10.7727 -10.8929  -11.013 -11.1332 -11.2533 -11.3734 -11.4936 -11.6137 -11.7338  -11.854 -11.9741 -12.0942 -12.2144
-12.1944 -12.0754 -11.9564 -11.8374 -11.7184 -11.5994 -11.4804 -11.3614 -11.2424 -11.1234 -11.0044 -10.8854 -10.7664 -10.6474 -10.5284 -10.4094 -10.2976 -10.4094 -10.5284 -10.6474 -10.7664 -10.8854 -11.0044 -11.1234 -11.2424 -11.3614 -11.4804 -11.5994 -11.7184 -11.8374 -11.9564 -12.0754 -12.1944
