Eigenvalues of 12x12Matrix, for t = [3.000000,6.000000] in 64 Steps. With: t=  2.000000; Delta = 1.000000using 16 OpenMP Threads
M,12 Eigenvalues  ... 
5.39063,-12.6953,-12.6953,-10,-10,-10,-10,-10,-10,-10,-10,-7.30469,-7.30469
5.4375,-12.7187,-12.5101,-10.0112,-10.0001,-10,-10,-10,-9.99993,-9.9201,-9.76364,-7.79493,-7.28125
5.48438,-12.7422,-12.7422,-10,-10,-10,-10,-10,-10,-10,-10,-7.25781,-7.25781
5.53125,-13.0521,-13.0088,-10.8271,-10,-10,-10,-9.93072,-9.82288,-9.55434,-9.4787,-8.09991,-6.22546
5.57813,-2233.76,-18.8894,-12.5911,-12.5702,-11.141,-10.0622,-10,-10,-10,-10,-4.30606,2223.32
5.625,-12.8125,-12.8125,-10,-10,-10,-10,-10,-10,-10,-10,-7.1875,-7.1875
5.67188,-12.8359,-12.8359,-10,-10,-10,-10,-10,-10,-10,-10,-7.16406,-7.16406
5.71875,-12.8594,-12.8594,-10,-10,-10,-10,-10,-10,-10,-10,-7.14063,-7.14062
5.76563,-12.8828,-12.8828,-10,-10,-10,-10,-10,-10,-10,-10,-7.11719,-7.11719
5.8125,-12.9063,-12.9062,-10,-10,-10,-10,-10,-10,-10,-10,-7.09375,-7.09375
5.85938,-12.9297,-12.9297,-10,-10,-10,-10,-10,-10,-10,-10,-7.07031,-7.07031
5.90625,-12.9531,-12.9531,-10,-10,-10,-10,-10,-10,-10,-10,-7.04688,-7.04687
5.95313,-12.9766,-12.9766,-10,-10,-10,-10,-10,-10,-10,-10,-7.02344,-7.02344
6,-13.0794,-13.0668,-10.4558,-10,-10,-10,-10,-10,-10,-8.70545,-8.48734,-6.20515
