Eigenvalues of 100x100Matrix, for t = [-1.000000,1.000000] in 16 Steps. With: mu=  0.100000; Delta = 0.100000using 16 OpenMP Threads
-1-0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1
-0.875-0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1
-0.75-0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1
-0.625-0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1
-0.5-0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1
-0.375-0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1
-0.25-0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1 -0.1
-0.125 -0.158848  -0.158804  -0.158054  -0.157937  -0.157202  -0.157069  -0.156403  -0.156367  -0.156216  -0.155961  -0.154767  -0.153879  -0.153746  -0.153614  -0.152399  -0.150856  -0.150203  -0.150139  -0.149356  -0.146953  -0.145828  -0.145789  -0.145617  -0.142265  -0.141159  -0.140737  -0.140583  -0.136904  -0.136018   -0.13494  -0.134685  -0.130971  -0.130287  -0.128541  -0.128218  -0.124542  -0.124093  -0.121664  -0.121323  -0.117691  -0.117544  -0.114446  -0.114156  -0.110695  -0.110519  -0.107032  -0.106854  -0.103605  -0.103153 -0.0995716 -0.0995298 -0.0963863 -0.0957399 -0.0922824 -0.0922025 -0.0891962 -0.0884295 -0.0852029 -0.0850405 -0.0822023  -0.081379 -0.0783582 -0.0781717 -0.0755594  -0.074745 -0.0717704 -0.0716462 -0.0693839 -0.0686616 -0.0655037 -0.0654782 -0.0637325 -0.0632169 -0.0598381 -0.0596101 -0.0586014  -0.058473 -0.0548188 -0.0545092 -0.0543463 -0.0539819 -0.0513296 -0.0506149 -0.0499466 -0.0498364 -0.0485349 -0.0472624  -0.046653 -0.0461712 -0.0457955 -0.0445614 -0.0442701 -0.0437067 -0.0434107 -0.0429311 -0.0427279 -0.0424398 -0.0416162 -0.0411411 -0.0408498
0   -0.299621    -0.299621    -0.298484    -0.298484    -0.296595    -0.296595    -0.293959    -0.293959    -0.290588    -0.290588    -0.286494    -0.286494    -0.281693    -0.281693    -0.276202    -0.276202    -0.270043    -0.270043    -0.263239    -0.263239    -0.255816    -0.255816    -0.247802    -0.247802    -0.239227    -0.239227    -0.230124    -0.230124    -0.220527    -0.220527    -0.210473    -0.210473         -0.2         -0.2    -0.189148    -0.189148    -0.177957    -0.177957    -0.166471    -0.166471    -0.154733    -0.154733    -0.142787    -0.142787    -0.130678    -0.130678    -0.118454    -0.118454    -0.106159    -0.106159    -0.093841    -0.093841   -0.0815463   -0.0815463   -0.0693217   -0.0693217   -0.0572134   -0.0572134   -0.0452674   -0.0452674    -0.033529    -0.033529   -0.0220428   -0.0220428   -0.0108523   -0.0108523 -3.56434e-15 -3.56434e-15     0.010473     0.010473    0.0205269    0.0205269    0.0301237    0.0301237    0.0392268    0.0392268    0.0478018    0.0478018    0.0558161    0.0558161    0.0632394    0.0632394    0.0700434    0.0700434    0.0762024    0.0762024    0.0816931    0.0816931    0.0864944    0.0864944    0.0905884    0.0905884    0.0939594    0.0939594    0.0965946    0.0965946    0.0984841    0.0984841    0.0996207    0.0996207
0.125 -0.158848  -0.158804  -0.158054  -0.157937  -0.157202  -0.157069  -0.156403  -0.156367  -0.156216  -0.155961  -0.154767  -0.153879  -0.153746  -0.153614  -0.152399  -0.150856  -0.150203  -0.150139  -0.149356  -0.146953  -0.145828  -0.145789  -0.145617  -0.142265  -0.141159  -0.140737  -0.140583  -0.136904  -0.136018   -0.13494  -0.134685  -0.130971  -0.130287  -0.128541  -0.128218  -0.124542  -0.124093  -0.121664  -0.121323  -0.117691  -0.117544  -0.114446  -0.114156  -0.110695  -0.110519  -0.107032  -0.106854  -0.103605  -0.103153 -0.0995716 -0.0995298 -0.0963863 -0.0957399 -0.0922824 -0.0922025 -0.0891962 -0.0884295 -0.0852029 -0.0850405 -0.0822023  -0.081379 -0.0783582 -0.0781717 -0.0755594  -0.074745 -0.0717704 -0.0716462 -0.0693839 -0.0686616 -0.0655037 -0.0654782 -0.0637325 -0.0632169 -0.0598381 -0.0596101 -0.0586014  -0.058473 -0.0548188 -0.0545092 -0.0543463 -0.0539819 -0.0513296 -0.0506149 -0.0499466 -0.0498364 -0.0485349 -0.0472624  -0.046653 -0.0461712 -0.0457955 -0.0445614 -0.0442701 -0.0437067 -0.0434107 -0.0429311 -0.0427279 -0.0424398 -0.0416162 -0.0411411 -0.0408498
