-22.2997 -22.1707 -22.0417 -21.9127 -21.7837 -21.6546 -21.5256 -21.3966 -21.2676 -21.1386 -21.0096 -20.8805 -20.7515 -20.6225 -20.4935 -20.3645 -20.3645 -20.4935 -20.6225 -20.7515 -20.8805 -21.0096 -21.1386 -21.2676 -21.3966 -21.5256 -21.6546 -21.7837 -21.9127 -22.0417 -22.1707 -22.2997
-22.2989   -22.17  -22.041  -21.912  -21.783 -21.6541 -21.5251 -21.3961 -21.2672 -21.1382 -21.0092 -20.8803 -20.7513 -20.6223 -20.4934 -20.3644 -20.3644 -20.4934 -20.6223 -20.7513 -20.8803 -21.0092 -21.1382 -21.2672 -21.3961 -21.5251 -21.6541  -21.783  -21.912  -22.041   -22.17 -22.2989
-22.2976 -22.1687 -22.0398 -21.9109  -21.782 -21.6531 -21.5242 -21.3953 -21.2665 -21.1376 -21.0087 -20.8798 -20.7509  -20.622 -20.4931 -20.3642 -20.3642 -20.4931  -20.622 -20.7509 -20.8798 -21.0087 -21.1376 -21.2665 -21.3953 -21.5242 -21.6531  -21.782 -21.9109 -22.0398 -22.1687 -22.2976
-22.2957 -22.1669 -22.0381 -21.9094 -21.7806 -21.6518  -21.523 -21.3942 -21.2655 -21.1367 -21.0079 -20.8791 -20.7503 -20.6216 -20.4928  -20.364  -20.364 -20.4928 -20.6216 -20.7503 -20.8791 -21.0079 -21.1367 -21.2655 -21.3942  -21.523 -21.6518 -21.7806 -21.9094 -22.0381 -22.1669 -22.2957
-22.2933 -22.1646  -22.036 -21.9074 -21.7787 -21.6501 -21.5215 -21.3928 -21.2642 -21.1355 -21.0069 -20.8783 -20.7496  -20.621 -20.4923 -20.3637 -20.3637 -20.4923  -20.621 -20.7496 -20.8783 -21.0069 -21.1355 -21.2642 -21.3928 -21.5215 -21.6501 -21.7787 -21.9074  -22.036 -22.1646 -22.2933
-22.2903 -22.1619 -22.0334 -21.9049 -21.7765  -21.648 -21.5195 -21.3911 -21.2626 -21.1341 -21.0057 -20.8772 -20.7487 -20.6203 -20.4918 -20.3634 -20.3634 -20.4918 -20.6203 -20.7487 -20.8772 -21.0057 -21.1341 -21.2626 -21.3911 -21.5195  -21.648 -21.7765 -21.9049 -22.0334 -22.1619 -22.2903
-22.2868 -22.1586 -22.0303 -21.9021 -21.7738 -21.6455 -21.5173  -21.389 -21.2608 -21.1325 -21.0042  -20.876 -20.7477 -20.6195 -20.4912 -20.3629 -20.3629 -20.4912 -20.6195 -20.7477  -20.876 -21.0042 -21.1325 -21.2608  -21.389 -21.5173 -21.6455 -21.7738 -21.9021 -22.0303 -22.1586 -22.2868
-22.2828 -22.1548 -22.0268 -21.8987 -21.7707 -21.6427 -21.5147 -21.3867 -21.2586 -21.1306 -21.0026 -20.8746 -20.7465 -20.6185 -20.4905 -20.3625 -20.3625 -20.4905 -20.6185 -20.7465 -20.8746 -21.0026 -21.1306 -21.2586 -21.3867 -21.5147 -21.6427 -21.7707 -21.8987 -22.0268 -22.1548 -22.2828
-22.2783 -22.1505 -22.0228  -21.895 -21.7672 -21.6395 -21.5117  -21.384 -21.2562 -21.1284 -21.0007 -20.8729 -20.7452 -20.6174 -20.4897 -20.3619 -20.3619 -20.4897 -20.6174 -20.7452 -20.8729 -21.0007 -21.1284 -21.2562  -21.384 -21.5117 -21.6395 -21.7672  -21.895 -22.0228 -22.1505 -22.2783
-22.2732 -22.1457 -22.0183 -21.8908 -21.7633 -21.6359 -21.5084  -21.381 -21.2535  -21.126 -20.9986 -20.8711 -20.7437 -20.6162 -20.4888 -20.3613 -20.3613 -20.4888 -20.6162 -20.7437 -20.8711 -20.9986  -21.126 -21.2535  -21.381 -21.5084 -21.6359 -21.7633 -21.8908 -22.0183 -22.1457 -22.2732
-22.2676 -22.1404 -22.0133 -21.8862  -21.759 -21.6319 -21.5048 -21.3777 -21.2505 -21.1234 -20.9963 -20.8691  -20.742 -20.6149 -20.4877 -20.3606 -20.3606 -20.4877 -20.6149  -20.742 -20.8691 -20.9963 -21.1234 -21.2505 -21.3777 -21.5048 -21.6319  -21.759 -21.8862 -22.0133 -22.1404 -22.2676
-22.2614 -22.1346 -22.0079 -21.8811 -21.7543 -21.6276 -21.5008  -21.374 -21.2473 -21.1205 -20.9937  -20.867 -20.7402 -20.6134 -20.4866 -20.3599 -20.3599 -20.4866 -20.6134 -20.7402  -20.867 -20.9937 -21.1205 -21.2473  -21.374 -21.5008 -21.6276 -21.7543 -21.8811 -22.0079 -22.1346 -22.2614
-22.2547 -22.1284  -22.002 -21.8756 -21.7492 -21.6229 -21.4965 -21.3701 -21.2437 -21.1173  -20.991 -20.8646 -20.7382 -20.6118 -20.4855 -20.3591 -20.3591 -20.4855 -20.6118 -20.7382 -20.8646  -20.991 -21.1173 -21.2437 -21.3701 -21.4965 -21.6229 -21.7492 -21.8756  -22.002 -22.1284 -22.2547
-22.2475 -22.1216 -21.9956 -21.8697 -21.7437 -21.6178 -21.4918 -21.3659 -21.2399 -21.1139  -20.988  -20.862 -20.7361 -20.6101 -20.4842 -20.3582 -20.3582 -20.4842 -20.6101 -20.7361  -20.862  -20.988 -21.1139 -21.2399 -21.3659 -21.4918 -21.6178 -21.7437 -21.8697 -21.9956 -22.1216 -22.2475
-22.2398 -22.1143 -21.9888 -21.8633 -21.7378 -21.6123 -21.4868 -21.3613 -21.2358 -21.1103 -20.9848 -20.8593 -20.7338 -20.6083 -20.4828 -20.3573 -20.3573 -20.4828 -20.6083 -20.7338 -20.8593 -20.9848 -21.1103 -21.2358 -21.3613 -21.4868 -21.6123 -21.7378 -21.8633 -21.9888 -22.1143 -22.2398
-22.2316 -22.1065 -21.9815 -21.8565 -21.7315 -21.6065 -21.4815 -21.3564 -21.2314 -21.1064 -20.9814 -20.8564 -20.7313 -20.6063 -20.4813 -20.3563 -20.3563 -20.4813 -20.6063 -20.7313 -20.8564 -20.9814 -21.1064 -21.2314 -21.3564 -21.4815 -21.6065 -21.7315 -21.8565 -21.9815 -22.1065 -22.2316
-22.2228 -22.0983 -21.9738 -21.8493 -21.7248 -21.6003 -21.4758 -21.3513 -21.2268 -21.1023 -20.9778 -20.8533 -20.7287 -20.6042 -20.4797 -20.3552 -20.3552 -20.4797 -20.6042 -20.7287 -20.8533 -20.9778 -21.1023 -21.2268 -21.3513 -21.4758 -21.6003 -21.7248 -21.8493 -21.9738 -22.0983 -22.2228
-22.2135 -22.0895 -21.9656 -21.8416 -21.7177 -21.5937 -21.4698 -21.3458 -21.2218 -21.0979 -20.9739   -20.85  -20.726  -20.602 -20.4781 -20.3541 -20.3541 -20.4781  -20.602  -20.726   -20.85 -20.9739 -21.0979 -21.2218 -21.3458 -21.4698 -21.5937 -21.7177 -21.8416 -21.9656 -22.0895 -22.2135
-22.2037 -22.0803 -21.9569 -21.8335 -21.7102 -21.5868 -21.4634   -21.34 -21.2166 -21.0932 -20.9699 -20.8465 -20.7231 -20.5997 -20.4763 -20.3529 -20.3529 -20.4763 -20.5997 -20.7231 -20.8465 -20.9699 -21.0932 -21.2166   -21.34 -21.4634 -21.5868 -21.7102 -21.8335 -21.9569 -22.0803 -22.2037
-22.1934 -22.0706 -21.9478  -21.825 -21.7023 -21.5795 -21.4567 -21.3339 -21.2112 -21.0884 -20.9656 -20.8428   -20.72 -20.5973 -20.4745 -20.3517 -20.3517 -20.4745 -20.5973   -20.72 -20.8428 -20.9656 -21.0884 -21.2112 -21.3339 -21.4567 -21.5795 -21.7023  -21.825 -21.9478 -22.0706 -22.1934
-22.1826 -22.0604 -21.9383 -21.8161  -21.694 -21.5718 -21.4497 -21.3275 -21.2054 -21.0833 -20.9611  -20.839 -20.7168 -20.5947 -20.4725 -20.3504 -20.3504 -20.4725 -20.5947 -20.7168  -20.839 -20.9611 -21.0833 -21.2054 -21.3275 -21.4497 -21.5718  -21.694 -21.8161 -21.9383 -22.0604 -22.1826
-22.1712 -22.0497 -21.9283 -21.8068 -21.6853 -21.5638 -21.4423 -21.3209 -21.1994 -21.0779 -20.9564 -20.8349 -20.7135  -20.592 -20.4705  -20.349  -20.349 -20.4705  -20.592 -20.7135 -20.8349 -20.9564 -21.0779 -21.1994 -21.3209 -21.4423 -21.5638 -21.6853 -21.8068 -21.9283 -22.0497 -22.1712
-22.1594 -22.0386 -21.9178  -21.797 -21.6762 -21.5555 -21.4347 -21.3139 -21.1931 -21.0723 -20.9515 -20.8307   -20.71 -20.5892 -20.4684 -20.3476 -20.3476 -20.4684 -20.5892   -20.71 -20.8307 -20.9515 -21.0723 -21.1931 -21.3139 -21.4347 -21.5555 -21.6762  -21.797 -21.9178 -22.0386 -22.1594
 -22.147  -22.027 -21.9069 -21.7868 -21.6668 -21.5467 -21.4267 -21.3066 -21.1865 -21.0665 -20.9464 -20.8264 -20.7063 -20.5862 -20.4662 -20.3461 -20.3461 -20.4662 -20.5862 -20.7063 -20.8264 -20.9464 -21.0665 -21.1865 -21.3066 -21.4267 -21.5467 -21.6668 -21.7868 -21.9069  -22.027  -22.147
-22.1342 -22.0149 -21.8956 -21.7763 -21.6569 -21.5376 -21.4183  -21.299 -21.1797 -21.0604 -20.9411 -20.8218 -20.7025 -20.5832 -20.4639 -20.3446 -20.3446 -20.4639 -20.5832 -20.7025 -20.8218 -20.9411 -21.0604 -21.1797  -21.299 -21.4183 -21.5376 -21.6569 -21.7763 -21.8956 -22.0149 -22.1342
-22.1208 -22.0023 -21.8838 -21.7653 -21.6467 -21.5282 -21.4097 -21.2912 -21.1726 -21.0541 -20.9356 -20.8171 -20.6985   -20.58 -20.4615  -20.343  -20.343 -20.4615   -20.58 -20.6985 -20.8171 -20.9356 -21.0541 -21.1726 -21.2912 -21.4097 -21.5282 -21.6467 -21.7653 -21.8838 -22.0023 -22.1208
 -22.107 -21.9893 -21.8716 -21.7539 -21.6361 -21.5184 -21.4007  -21.283 -21.1653 -21.0476 -20.9299 -20.8122 -20.6944 -20.5767  -20.459 -20.3413 -20.3413  -20.459 -20.5767 -20.6944 -20.8122 -20.9299 -21.0476 -21.1653  -21.283 -21.4007 -21.5184 -21.6361 -21.7539 -21.8716 -21.9893  -22.107
-22.0927 -21.9758 -21.8589  -21.742 -21.6252 -21.5083 -21.3914 -21.2746 -21.1577 -21.0408 -20.9239 -20.8071 -20.6902 -20.5733 -20.4565 -20.3396 -20.3396 -20.4565 -20.5733 -20.6902 -20.8071 -20.9239 -21.0408 -21.1577 -21.2746 -21.3914 -21.5083 -21.6252  -21.742 -21.8589 -21.9758 -22.0927
-22.0778 -21.9618 -21.8458 -21.7298 -21.6138 -21.4978 -21.3818 -21.2658 -21.1498 -21.0338 -20.9178 -20.8018 -20.6858 -20.5698 -20.4538 -20.3378 -20.3378 -20.4538 -20.5698 -20.6858 -20.8018 -20.9178 -21.0338 -21.1498 -21.2658 -21.3818 -21.4978 -21.6138 -21.7298 -21.8458 -21.9618 -22.0778
-22.0626 -21.9474 -21.8323 -21.7172 -21.6021  -21.487 -21.3719 -21.2568 -21.1417 -21.0266 -20.9115 -20.7964 -20.6813 -20.5662 -20.4511  -20.336  -20.336 -20.4511 -20.5662 -20.6813 -20.7964 -20.9115 -21.0266 -21.1417 -21.2568 -21.3719  -21.487 -21.6021 -21.7172 -21.8323 -21.9474 -22.0626
-22.0468 -21.9326 -21.8184 -21.7042 -21.5901 -21.4759 -21.3617 -21.2475 -21.1333 -21.0192  -20.905 -20.7908 -20.6766 -20.5624 -20.4482 -20.3341 -20.3341 -20.4482 -20.5624 -20.6766 -20.7908  -20.905 -21.0192 -21.1333 -21.2475 -21.3617 -21.4759 -21.5901 -21.7042 -21.8184 -21.9326 -22.0468
-22.0305 -21.9173 -21.8041 -21.6908 -21.5776 -21.4644 -21.3512 -21.2379 -21.1247 -21.0115 -20.8982  -20.785 -20.6718 -20.5586 -20.4453 -20.3321 -20.3321 -20.4453 -20.5586 -20.6718  -20.785 -20.8982 -21.0115 -21.1247 -21.2379 -21.3512 -21.4644 -21.5776 -21.6908 -21.8041 -21.9173 -22.0305
-22.0138 -21.9015 -21.7893 -21.6771 -21.5648 -21.4526 -21.3403 -21.2281 -21.1158 -21.0036 -20.8913 -20.7791 -20.6668 -20.5546 -20.4424 -20.3301 -20.3301 -20.4424 -20.5546 -20.6668 -20.7791 -20.8913 -21.0036 -21.1158 -21.2281 -21.3403 -21.4526 -21.5648 -21.6771 -21.7893 -21.9015 -22.0138
